,Inflation,Fed Rates,Capacity Utilization Rate
1995-01-31,2.8044,5.53,84.8472
1995-02-28,2.863,5.92,84.4634
1995-03-31,2.8533,5.98,84.3123
1995-04-30,3.0529,6.05,83.8748
1995-05-31,3.1864,6.01,83.9876
1995-06-30,3.0405,6.0,83.9584
1995-07-31,2.7628,5.85,83.2944
1995-08-31,2.6174,5.74,84.0724
1995-09-30,2.5435,5.8,84.0747
1995-10-31,2.8094,5.76,83.58
1995-11-30,2.6052,5.8,83.4429
1995-12-31,2.5384,5.6,83.3654
1996-01-31,2.7279,5.56,82.5158
1996-02-29,2.6508,5.22,83.3451
1996-03-31,2.8402,5.31,82.8594
1996-04-30,2.8966,5.22,83.2941
1996-05-31,2.8909,5.24,83.5236
1996-06-30,2.7541,5.27,83.7665
1996-07-31,2.9508,5.4,83.3918
1996-08-31,2.8777,5.22,83.4315
1996-09-30,3.0026,5.3,83.564
1996-10-31,2.9929,5.24,83.1973
1996-11-30,3.2552,5.31,83.5622
1996-12-31,3.3225,5.29,83.6933
1997-01-31,3.044,5.25,83.4262
1997-02-28,3.0342,5.19,84.0084
1997-03-31,2.7617,5.39,84.12
1997-04-30,2.4952,5.51,83.7916
1997-05-31,2.235,5.5,83.8144
1997-06-30,2.2974,5.56,83.7402
1997-07-31,2.2293,5.52,83.978
1997-08-31,2.225,5.54,84.3178
1997-09-30,2.1546,5.54,84.5693
1997-10-31,2.0847,5.5,84.7793
1997-11-30,1.8285,5.52,84.8918
1997-12-31,1.7024,5.5,84.692
1998-01-31,1.5713,5.56,84.4984
1998-02-28,1.4411,5.51,84.074
1998-03-31,1.375,5.49,83.5488
1998-04-30,1.4357,5.45,83.2923
1998-05-31,1.6864,5.49,83.3136
1998-06-30,1.6843,5.56,82.3151
1998-07-31,1.6822,5.54,81.5396
1998-08-31,1.6169,5.55,82.7869
1998-09-30,1.4888,5.51,82.3253
1998-10-31,1.4851,5.07,82.4879
1998-11-30,1.548,4.83,82.0403
1998-12-31,1.6119,4.68,82.0415
1999-01-31,1.6708,4.63,82.0391
1999-02-28,1.6059,4.76,82.1916
1999-03-31,1.7263,4.81,82.0452
1999-04-30,2.2769,4.74,81.9153
1999-05-31,2.0884,4.74,82.124
1999-06-30,1.9632,4.76,81.7593
1999-07-31,2.1446,4.99,81.9405
1999-08-31,2.2644,5.07,81.9786
1999-09-30,2.6284,5.22,81.3642
1999-10-31,2.561,5.2,82.0771
1999-11-30,2.6219,5.42,82.198
1999-12-31,2.6846,5.3,82.5592
2000-01-31,2.7389,5.45,82.179
2000-02-29,3.2219,5.73,82.1719
2000-03-31,3.7576,5.85,82.2023
2000-04-30,3.0686,6.02,82.4316
2000-05-31,3.1889,6.27,82.3967
2000-06-30,3.7304,6.53,82.1729
2000-07-31,3.6593,6.54,81.7603
2000-08-31,3.4111,6.5,81.2857
2000-09-30,3.4544,6.52,81.4061
2000-10-31,3.4483,6.51,80.8334
2000-11-30,3.4462,6.51,80.5963
2000-12-31,3.3868,6.4,80.0735
