,coef,std_err,t_stat,p_value
const,-0.1491,0.5804,-0.2568,0.7973
L1.Inflation,1.4255,0.0537,26.5332,0.0
L1.Fed Rates,0.43,0.1528,2.815,0.0049
L1.Capacity Utilization Rate,0.0232,0.0275,0.8436,0.3989
L2.Inflation,-0.653,0.093,-7.019,0.0
L2.Fed Rates,-0.6866,0.2783,-2.4675,0.0136
L2.Capacity Utilization Rate,0.0137,0.0404,0.3388,0.7348
L3.Inflation,0.249,0.0928,2.6828,0.0073
L3.Fed Rates,-0.0067,0.2852,-0.0233,0.9814
L3.Capacity Utilization Rate,0.0113,0.0393,0.2879,0.7734
L4.Inflation,-0.065,0.0539,-1.2055,0.228
L4.Fed Rates,0.2616,0.1557,1.6805,0.0929
L4.Capacity Utilization Rate,-0.0447,0.0265,-1.6864,0.0917
